time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T22:40:02.710Z,19.1828327178955,-155.357162475586,27.3899993896484,1.90999997,md,35,172,,0.159999996,hv,hv73292427,2023-01-02T22:43:17.450Z,"12 km E of P?hala, Hawaii",earthquake,0.62,0.99000001,0.949999988,8,automatic,hv,hv
2023-01-02T22:39:59.332Z,-2.4043,140.7873,25.018,4.4,mb,38,96,8.545,0.86,us,us7000j44k,2023-03-11T22:51:47.040Z,"16 km NNE of Jayapura, Indonesia",earthquake,11.15,5.204,0.112,23,reviewed,us,us
2023-01-02T22:39:32.140Z,36.2051667,-120.2061667,6.81,1.61,md,23,134,0.1485,0.13,nc,nc73828116,2023-01-11T07:43:13.029Z,"9km W of Huron, CA",earthquake,0.43,0.61,0.232,22,reviewed,nc,nc
2023-01-02T22:32:53.437Z,58.4488,-152.6759,46.5,2,ml,,,,0.53,ak,ak0233od78v,2023-01-19T20:11:37.753Z,"45 km NNE of Aleneva, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-01-02T22:17:15.550Z,33.9701667,-116.9735,14.82,1,ml,21,61,0.127,0.13,ci,ci40153111,2023-01-13T21:24:24.322Z,"4km N of Beaumont, CA",earthquake,0.19,0.61,0.188,17,reviewed,ci,ci
2023-01-02T22:16:04.508Z,56.6774,-156.5449,45.7,2.2,ml,,,,0.53,ak,ak0233o9odh,2023-01-19T20:11:37.355Z,"106 km SSE of Ugashik, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-01-02T22:14:18.048Z,55.5136,162.0419,64.876,4.4,mb,78,106,3.191,0.35,us,us7000j1pl,2023-03-11T22:51:33.040Z,"84 km SSW of Ust’-Kamchatsk Staryy, Russia",earthquake,11.3,7.002,0.072,55,reviewed,us,us
2023-01-02T22:12:21.607Z,66.3409,-157.3558,10,1.2,ml,,,,0.61,ak,ak0233o8ung,2023-01-23T20:14:06.584Z,"61 km S of Shungnak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-01-02T22:10:00.000Z,54.763,-163.709666666667,0.31,1.49,ml,5,123,,0.09,av,av91741906,2023-01-04T06:01:18.450Z,"21 km WSW of False Pass, Alaska",earthquake,0.32,0.46,0.299272729010651,5,reviewed,av,av
2023-01-02T22:09:54.030Z,36.228,-89.5221666666667,7.31,1.46,md,11,93,0.02936,0.06,nm,nm60504066,2023-01-12T16:32:19.950Z,"4 km SW of Ridgely, Tennessee",earthquake,0.46,0.68,0.0368844406277019,10,reviewed,nm,nm
